id,name,domain,fit_score,reason
"332343074545","National Contracting Services","ncssuccessllc.com","37","MANUAL: watchdog force-kill (CLOSE_HUNG: ncssuccessllc.com ())"
"335493508819","IC Construction Company","icconstructioncompany.com","37","MANUAL: no diversity/SBLO page found"
"336944131821","Toro Construction Corp.","toroconstructioncorp.com","37","MANUAL: no diversity/SBLO page found"
"340569209556","Joint Forces Construction, LLC","jointforces.org","37","MANUAL: no diversity/SBLO page found"
"341119257327","GR STAFFLOGIX LLC","grstafflogix.com","37","MANUAL: no diversity/SBLO page found"
"341172854500","ACCENT ENGINEERING & CONSTRUCTION INC","accenteci.com","37","MANUAL: no diversity/SBLO page found"
"345641853651","Leapley Construction","leapleyconstruction.com","37","MANUAL: no diversity/SBLO page found"
"329637528296","Alston Construction","alstonco.com","36","MANUAL: no diversity/SBLO page found"
"329949096697","Hourigan","hourigan.group","36","MANUAL: no diversity/SBLO page found"
"331798692584","Schuchart","schuchart.com","36","MANUAL: no diversity/SBLO page found"
"335354908399","Axxys Construction","axxysconstruction.com","36","MANUAL: no diversity/SBLO page found"
"335800219323","Advon","advonconstruction.com","36","MANUAL: no diversity/SBLO page found"
"336938747631","Building & Repair Systems LLC","buildingrepairsystems.com","36","MANUAL: no diversity/SBLO page found"
"326289680078","ACC CONSTRUCTION CO., INC.","acccon.net","35","MANUAL: no diversity/SBLO page found"
"329537379062","Gray","gray.com","35","MANUAL: no diversity/SBLO page found"
"329725687535","Rand Construction","randcc.com","35","MANUAL: no diversity/SBLO page found"
"330344193783","CORNERSTONE CONSTRUCTION SERVICES, LLC","cornerstone-serv.com","35","MANUAL: watchdog force-kill (CLOSE_HUNG: cornerstone-serv.com ())"
"330359658182","SOUTHERN AIRE CONTRACTING INC","","35","MANUAL: no domain on record"
"332308112060","Lawdensky Construction Company","lawdenskyconstructioncompany.com","35","MANUAL: no diversity/SBLO page found"
"332352312036","Banneker Ventures","bannekerventures.com","35","MANUAL: no diversity/SBLO page found"
"335765940923","Mariottini Construction","mariottini.com","35","MANUAL: no diversity/SBLO page found"
"336944131823","Graybach","graybach.com","35","MANUAL: no diversity/SBLO page found"
"340289240789","DeLauter Development","delauterinc.com","35","MANUAL: no diversity/SBLO page found"
"341088493289","BETANCE ENTERPRISES, INC.","betance.net","35","MANUAL: 40s crawl ceiling hit (TIMEOUT: company betance.net exceeded 40000ms)"
"341162074818","B&B INDUSTRIES LC","bbind-usa.com","35","MANUAL: no diversity/SBLO page found"
"341227537111","LOG Solutions and Consulting, LLC","logsc.net","35","MANUAL: no diversity/SBLO page found"
"346267584244","Calcon Constructors, Inc.","calconci.com","35","MANUAL: no diversity/SBLO page found"
"346792564418","EV Construction","ev.construction","35","MANUAL: no diversity/SBLO page found"
"334401290946","Millie and Severson","millieandseverson.com","34","MANUAL: no diversity/SBLO page found"
"341154891512","RICHARD GROUP LLC","richardgroupllc.com","34","MANUAL: no diversity/SBLO page found"
"346178046658","Garbutt Construction Company","garbuttconstruction.com","34","MANUAL: no diversity/SBLO page found"
"346467770059","TF Powers Construction Co","tfpowers.com","34","MANUAL: no diversity/SBLO page found"
"329322861252","J.T. Magen & Company","jtmagen.com","33","MANUAL: no diversity/SBLO page found"
"329997046510","IPS-Integrated Project Services","ipsdb.com","33","MANUAL: no diversity/SBLO page found"
"332130794179","HOF Construction","hofconstruction.com","33","MANUAL: 40s crawl ceiling hit (TIMEOUT: company hofconstruction.com exceeded 40000ms)"
"332378623734","BKM Construction","bkmconstructiongroup.com","33","MANUAL: no diversity/SBLO page found"
"335615186618","Moser Construction LLC","moserconstruction.net","33","MANUAL: no diversity/SBLO page found"
"340628542176","Penn Construction Group, Inc.","pcgdesignbuild.com","33","MANUAL: no diversity/SBLO page found"
"341095865019","CITYDRONEZ VETERANS LLC","citydronezvets.com","33","MANUAL: watchdog force-kill (CLOSE_HUNG: citydronezvets.com ())"
"341174687421","STERLING RISE FEDERAL CORPORATION","sterlingrisefederal.com","33","MANUAL: no diversity/SBLO page found"
"341240026868","1WAYSERVICES LLC","","33","MANUAL: no domain on record"
"330029908701","Capstone Building","capstonebuilding.com","32","MANUAL: no diversity/SBLO page found"
"332334074575","TLI Construction","tliconstruction.net","32","MANUAL: no diversity/SBLO page found"
"340590795461","Apex Constructors","apex-constructors.com","32","MANUAL: no diversity/SBLO page found"
"341143192279","FG PINNACLE SERVICES LLC","fgmanagementgroup.com","32","MANUAL: no diversity/SBLO page found"
"341161485033","SDV - JAYNES JOINT VENTURE","sdvconstruction.com","32","MANUAL: no diversity/SBLO page found"
"345655616243","Lueder Construction","lueder.com","32","MANUAL: no diversity/SBLO page found"
"346178065116","The Samuels Group","samuelsgroup.net","32","MANUAL: no diversity/SBLO page found"
"346966512324","Genco General Contractors","gencopr.com","32","MANUAL: no diversity/SBLO page found"
"347113466591","MBP","mbpce.com","32","MANUAL: no diversity/SBLO page found"
"348163385076","Swank Enterprises","swankenterprises.com","32","MANUAL: no diversity/SBLO page found"
"326658131669","Kilgore Companies","kilgorecompanies.com","31","MANUAL: no diversity/SBLO page found"
"330375859950","BLASCO CONSTRUCTION CORP","blascoconstruction.com","31","MANUAL: no diversity/SBLO page found"
"331842689754","BSA Contractors","bsacontractorsllc.net","31","MANUAL: no diversity/SBLO page found"
"335507135210","Caliber 1 Construction","caliber1construction.com","31","MANUAL: no diversity/SBLO page found"
